2023-11-09 06:22:00 - Device: Living room Light, Status: True, Brightness: 87%
2023-11-09 06:22:00 - Device: Living room Thermostat, Status: False, Temperature: 72C
2023-11-09 06:23:11 - Device: Living room Light, Status: False, Brightness: 0%
2023-11-09 06:23:11 - Device: Living room Thermostat, Status: False, Temperature: 72C
2023-11-09 06:24:55 - Device: Living room Light, Status: True, Brightness: 1%
2023-11-09 06:24:55 - Device: Living room Thermostat, Status: False, Temperature: 72C
2023-11-09 06:25:12 - Device: Living room Light, Status: False, Brightness: 0%
2023-11-09 06:25:12 - Device: Living room Thermostat, Status: True, Temperature: 50C
2023-11-09 06:25:22 - Device: Living room Light, Status: True, Brightness: 56%
2023-11-09 06:25:22 - Device: Living room Thermostat, Status: True, Temperature: 50C
2023-11-09 06:25:30 - Device: Living room Light, Status: False, Brightness: 0%
2023-11-09 06:25:30 - Device: Living room Thermostat, Status: True, Temperature: 50C
2023-11-09 06:25:35 - Device: Living room Light, Status: True, Brightness: 79%
2023-11-09 06:25:35 - Device: Living room Thermostat, Status: True, Temperature: 55C
2023-11-09 06:25:36 - Device: Living room Light, Status: True, Brightness: 79%
2023-11-09 06:25:36 - Device: Living room Thermostat, Status: True, Temperature: 50C
2023-11-09 06:25:36 - Device: Living room Light, Status: True, Brightness: 12%
2023-11-09 06:25:36 - Device: Living room Thermostat, Status: True, Temperature: 31C
2023-11-09 06:25:37 - Device: Living room Light, Status: True, Brightness: 12%
2023-11-09 06:25:37 - Device: Living room Thermostat, Status: True, Temperature: 31C
2023-11-09 06:25:37 - Device: Living room Light, Status: True, Brightness: 80%
2023-11-09 06:25:37 - Device: Living room Thermostat, Status: True, Temperature: 87C
2023-11-09 06:25:38 - Device: Living room Light, Status: True, Brightness: 80%
2023-11-09 06:25:38 - Device: Living room Thermostat, Status: True, Temperature: 50C
2023-11-09 06:25:38 - Device: Living room Light, Status: True, Brightness: 30%
2023-11-09 06:25:38 - Device: Living room Thermostat, Status: True, Temperature: 71C
2023-11-09 06:25:38 - Device: Living room Light, Status: True, Brightness: 30%
